,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
149239,I172028377,2629,Harassment,HARASSMENT,A7,12,,2017-04-11 23:30:00,2017,4,Tuesday,23,Part Two,BRANDYWYNE DR,42.38783615,-71.01203798,"(42.38783615, -71.01203798)"
194986,I162085861,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,572,,2016-10-20 00:45:00,2016,10,Thursday,0,Part Two,ENNIS RD,42.31268862,-71.09762637,"(42.31268862, -71.09762637)"
54113,I182022250,2660,Other,OTHER OFFENSE,C6,216,,2018-03-25 14:10:00,2018,3,Sunday,14,Part Two,LORING ST,42.33433863,-71.05199788,"(42.33433863, -71.05199788)"
323913,I152053703,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,259,,2015-06-28 22:00:00,2015,6,Sunday,22,Part Three,MAGNOLIA ST,42.31478432,-71.07160997,"(42.31478432, -71.07160997)"
23728,I182054455,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,623,,2018-07-11 09:03:00,2018,7,Wednesday,9,Part Three,KENMORE ST,42.34841252,-71.09496043,"(42.34841252, -71.09496043)"
9835,I182069435,1402,Vandalism,VANDALISM,D14,806,,2018-08-29 12:05:00,2018,8,Wednesday,12,Part Two,WESTERN AVE,42.36181486,-71.1440032,"(42.36181486, -71.14400320)"
104468,I172076207,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,104,,2017-09-11 18:00:00,2017,9,Monday,18,Part Three,ARCH ST,42.35631391,-71.05778101,"(42.35631391, -71.05778101)"
142760,I172035321,2657,Other,VIOLATION - CITY ORDINANCE,B3,464,,2017-05-05 12:28:00,2017,5,Friday,12,Part Two,BLUE HILL AVE,42.28946229,-71.0898714,"(42.28946229, -71.08987140)"
73213,I182001901,3114,Investigate Property,INVESTIGATE PROPERTY,B3,435,,2018-01-08 17:33:00,2018,1,Monday,17,Part Three,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
320728,I152057379,1874,Drug Violation,DRUGS - OTHER,B2,297,,2015-07-11 21:15:00,2015,7,Saturday,21,Part Two,ROCKLAND ST,42.32246156,-71.08486426,"(42.32246156, -71.08486426)"
14779,I182064121,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6, ,,2018-08-12 08:27:00,2018,8,Sunday,8,Part Three,,,,"(0.00000000, 0.00000000)"
157113,I172019972,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,E13,570,,2017-03-13 17:55:00,2017,3,Monday,17,Part Three,WASHINGTON ST,42.30748039,-71.10649768,"(42.30748039, -71.10649768)"
182271,I162099552,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2, ,,2016-12-06 18:07:00,2016,12,Tuesday,18,Part Two,,,,"(0.00000000, 0.00000000)"
112816,I172067348,2401,Disorderly Conduct,AFFRAY,D4,172,,2017-08-16 06:24:00,2017,8,Wednesday,6,Part Two,ALBANY ST,42.34255919,-71.06270824,"(42.34255919, -71.06270824)"
215772,I162063505,3115,Investigate Person,INVESTIGATE PERSON,B2,331,,2016-08-08 00:25:00,2016,8,Monday,0,Part Three,GLENDALE ST,42.31303093,-71.06932562,"(42.31303093, -71.06932562)"
35721,I182041773,3201,Property Lost,PROPERTY - LOST,E13,579,,2018-05-30 13:30:00,2018,5,Wednesday,13,Part Three,CENTRE ST,42.32270922,-71.09932317,"(42.32270922, -71.09932317)"
285987,I152095463,3115,Investigate Person,INVESTIGATE PERSON,C11,462,,2015-11-17 12:30:00,2015,11,Tuesday,12,Part Three,BULLARD ST,42.30238445,-71.07238956,"(42.30238445, -71.07238956)"
309656,I152069583,3301,Verbal Disputes,VERBAL DISPUTE,B2,612,,2015-08-22 10:49:00,2015,8,Saturday,10,Part Three,LONGWOOD AVE,42.33744152,-71.10428096,"(42.33744152, -71.10428096)"
62431,I182013369,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,492,,2017-11-22 12:25:00,2017,11,Wednesday,12,Part Two,LEWISTON ST,42.26642632,-71.11212105,"(42.26642632, -71.11212105)"
294551,I152086008,3625,Other,DANGEROUS OR HAZARDOUS CONDITION,E13,656,,2015-10-15 18:20:00,2015,10,Thursday,18,Part Three,POND ST,42.30953734,-71.13134056,"(42.30953734, -71.13134056)"
296197,I152084242,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,148,,2015-10-10 10:55:00,2015,10,Saturday,10,Part One,W RUTLAND SQ,42.34300537,-71.0796682,"(42.34300537, -71.07966820)"
221319,I162057470,3115,Investigate Person,INVESTIGATE PERSON,C6,207,,2015-12-01 00:01:00,2015,12,Tuesday,0,Part Three,DRY DOCK AVE,42.3447348,-71.02964543,"(42.34473480, -71.02964543)"
86912,I172094889,3115,Investigate Person,INVESTIGATE PERSON,C6,200,,2017-11-13 16:28:00,2017,11,Monday,16,Part Three,W BROADWAY,42.34128751,-71.05467933,"(42.34128751, -71.05467933)"
12318,I182066766,3410,Towed,TOWED MOTOR VEHICLE,C6,177,,2018-08-21 00:15:00,2018,8,Tuesday,0,Part Three,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
80307,I172101892,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A1,109,,2017-12-08 01:30:00,2017,12,Friday,1,Part Two,HIGH ST,42.35649296,-71.05259107,"(42.35649296, -71.05259107)"
14057,I182064900,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",D4,171,,2018-08-14 19:00:00,2018,8,Tuesday,19,Part Two,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
132202,I172046726,3125,Warrant Arrests,WARRANT ARREST,E13,579,,2017-06-12 12:40:00,2017,6,Monday,12,Part Three,MOZART ST,42.3214866,-71.10473096,"(42.32148660, -71.10473096)"
68991,I182006358,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,60,,2018-01-24 07:30:00,2018,1,Wednesday,7,Part Three,CITY SQ,42.37196094,-71.06217021,"(42.37196094, -71.06217021)"
107261,I172073211,3501,Missing Person Reported,MISSING PERSON,B2,331,,2017-09-04 07:33:00,2017,9,Monday,7,Part Three,GLENDALE ST,42.31303093,-71.06932562,"(42.31303093, -71.06932562)"
74219,I182000789,3208,Property Lost,PROPERTY - MISSING,A1,76,,2018-01-03 10:00:00,2018,1,Wednesday,10,Part Three,FRIEND ST,42.36439256,-71.06093185,"(42.36439256, -71.06093185)"
19006,I182059484,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,B2, ,,2018-07-28 11:00:00,2018,7,Saturday,11,Part Three,PARKER ST,,,"(0.00000000, 0.00000000)"
311191,I152067871,2905,Violations,VAL - OPERATING WITHOUT LICENSE,B2, ,,2015-08-16 18:58:00,2015,8,Sunday,18,Part Two,,,,"(0.00000000, 0.00000000)"
305527,I152074167,3115,Investigate Person,INVESTIGATE PERSON,B3,463,,2015-09-06 21:54:00,2015,9,Sunday,21,Part Three,AMERICAN LEGION HWY,42.29794983,-71.08774413,"(42.29794983, -71.08774413)"
301578,I152078419,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B3,432,,2015-09-20 19:13:00,2015,9,Sunday,19,Part Two,JACOB ST,42.28541846,-71.08366378,"(42.28541846, -71.08366378)"
25996,I182052089,301,Robbery,ROBBERY - STREET,C11,334,,2018-07-02 23:56:00,2018,7,Monday,23,Part One,HENDRY ST,42.30893903,-71.06461576,"(42.30893903, -71.06461576)"
106823,I172073676,1402,Vandalism,VANDALISM,A7,26,,2017-09-05 09:30:00,2017,9,Tuesday,9,Part Two,BORDER ST,42.38166501,-71.04030314,"(42.38166501, -71.04030314)"
264292,I162011328,1874,Drug Violation,DRUGS - OTHER,E13,574,,2016-02-11 16:30:00,2016,2,Thursday,16,Part Two,,,,"(0.00000000, 0.00000000)"
41363,I182035765,2647,Other,THREATS TO DO BODILY HARM,A1, ,,2018-03-31 11:00:00,2018,3,Saturday,11,Part Two,ROWES WHRF,,,"(0.00000000, 0.00000000)"
97809,I172083217,3002,Medical Assistance,ANIMAL CONTROL - DOG BITES - ETC.,D14, ,,2017-10-05 22:59:00,2017,10,Thursday,22,Part Three,BRIGHTON AVE,,,"(0.00000000, 0.00000000)"
207588,I162072290,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A7, ,,2016-09-05 03:17:00,2016,9,Monday,3,Part Three,,,,"(0.00000000, 0.00000000)"
260483,I162015418,3301,Verbal Disputes,VERBAL DISPUTE,C11,367,,2016-02-27 03:08:00,2016,2,Saturday,3,Part Three,KING ST,42.29323828,-71.05672718,"(42.29323828, -71.05672718)"
79333,I172102948,3501,Missing Person Reported,MISSING PERSON,B2,304,,2017-12-12 17:48:00,2017,12,Tuesday,17,Part Three,DIMOCK ST,42.31949779,-71.09707352,"(42.31949779, -71.09707352)"
161969,I172014838,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,E18,522,,2017-02-23 17:48:00,2017,2,Thursday,17,Part Two,DANA AVE,42.25396427,-71.12438009,"(42.25396427, -71.12438009)"
287924,I152093291,2403,Disorderly Conduct,DISTURBING THE PEACE,C6,256,,2015-11-08 01:00:00,2015,11,Sunday,1,Part Two,MOUNT VERNON ST,42.31779354,-71.04210959,"(42.31779354, -71.04210959)"
292770,I152087951,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,C11,362,,2015-10-23 08:02:00,2015,10,Friday,8,Part Three,MOULTRIE ST,42.29128494,-71.0703389,"(42.29128494, -71.07033890)"
285600,I152095871,3501,Missing Person Reported,MISSING PERSON,D14,784,,2015-11-18 21:33:00,2015,11,Wednesday,21,Part Three,WARREN ST,42.34946444,-71.14270449,"(42.34946444, -71.14270449)"
178875,I162103222,351,Robbery,ROBBERY - BANK,C6,191,,2016-12-19 12:44:00,2016,12,Monday,12,Part One,SOUTHAMPTON ST,42.32962107,-71.05763827,"(42.32962107, -71.05763827)"
187421,I162093879,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D4, ,,2016-11-16 16:40:00,2016,11,Wednesday,16,Part Two,,42.33347715,-71.07501246,"(42.33347715, -71.07501246)"
59231,I182016789,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,913,,2018-03-04 18:20:00,2018,3,Sunday,18,Part One,MOUNT VERNON ST,42.31893277,-71.04541663,"(42.31893277, -71.04541663)"
24795,I182053344,613,Larceny,LARCENY SHOPLIFTING,B2,329,,2018-07-07 08:54:00,2018,7,Saturday,8,Part One,OLDFIELDS RD,42.30821604,-71.07997835,"(42.30821604, -71.07997835)"
63816,I182011870,619,Larceny,LARCENY ALL OTHERS,B2,325,,2018-02-02 11:05:00,2018,2,Friday,11,Part One,BLUE HILL AVE,42.31490506,-71.07866702,"(42.31490506, -71.07866702)"
220341,I162058557,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,406,Y,2016-07-22 21:06:00,2016,7,Friday,21,Part Two,RIVER ST,42.27130225,-71.07442362,"(42.27130225, -71.07442362)"
229190,I162049037,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E5,559,,2016-06-20 19:36:00,2016,6,Monday,19,Part Three,KITTREDGE ST,42.28156099,-71.1298954,"(42.28156099, -71.12989540)"
184614,I162096963,2905,Violations,VAL - OPERATING WITHOUT LICENSE,D14,282,,2016-11-28 00:15:00,2016,11,Monday,0,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
141357,I172036822,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,E13,303,,2017-05-10 17:49:00,2017,5,Wednesday,17,Part Two,ATHERTON ST,42.31688698,-71.09983771,"(42.31688698, -71.09983771)"
466,I182079529,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,25,,2018-10-02 09:16:00,2018,10,Tuesday,9,Part Three,WHITE ST,42.38053192,-71.03510439,"(42.38053192, -71.03510439)"
210070,I162069615,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,128,,2016-08-26 19:00:00,2016,8,Friday,19,Part Three,COLUMBUS AVE,42.34943907,-71.07086364,"(42.34943907, -71.07086364)"
294706,I152085844,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,289,,2015-10-15 12:00:00,2015,10,Thursday,12,Part Two,HANCOCK ST,42.310434,-71.0613401,"(42.31043400, -71.06134010)"
300228,I152079895,2647,Other,THREATS TO DO BODILY HARM,A1,74,,2015-09-25 09:00:00,2015,9,Friday,9,Part Two,NEW CHARDON ST,42.3626075,-71.06132725,"(42.36260750, -71.06132725)"
70783,I182004470,361,Robbery,ROBBERY - OTHER,D14,938,,2018-01-17 07:00:00,2018,1,Wednesday,7,Part One,FIDELIS WAY,42.34531664,-71.14298078,"(42.34531664, -71.14298078)"
88499,I172093222,2905,Violations,VAL - OPERATING WITHOUT LICENSE,B2, ,,2017-11-07 14:47:00,2017,11,Tuesday,14,Part Two,,,,"(0.00000000, 0.00000000)"
59655,I182016339,3111,License Violation,LICENSE PREMISE VIOLATION,C6,206,,2018-03-02 22:55:00,2018,3,Friday,22,Part Three,SEAPORT BLVD,42.35325379,-71.0487241,"(42.35325379, -71.04872410)"
229130,I162049102,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,329,,2016-06-21 00:58:00,2016,6,Tuesday,0,Part Three,BISHOP JOE L SMITH WAY,42.30711017,-71.07973011,"(42.30711017, -71.07973011)"
315129,I152063605,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A1,69,,2015-08-01 19:24:00,2015,8,Saturday,19,Part Three,BEACON ST,42.35606892,-71.06984789,"(42.35606892, -71.06984789)"
43904,I182033049,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,D14,786,,2018-05-02 17:42:00,2018,5,Wednesday,17,Part Three,COMMONWEALTH AVE,42.34141879,-71.14629318,"(42.34141879, -71.14629318)"
158296,I172018750,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,594,,2017-03-09 12:23:00,2017,3,Thursday,12,Part Three,HUNTINGTON AVE,42.3420185,-71.08566213,"(42.34201850, -71.08566213)"
21247,I182057094,2657,Other,VIOLATION - CITY ORDINANCE,A1,102,,2018-07-20 10:29:00,2018,7,Friday,10,Part Two,TREMONT ST,42.356585,-71.06189505,"(42.35658500, -71.06189505)"
301793,I152078178,3301,Verbal Disputes,VERBAL DISPUTE,B2,268,,2015-09-20 00:31:00,2015,9,Sunday,0,Part Three,EUSTIS ST,42.3290038,-71.07838214,"(42.32900380, -71.07838214)"
262728,I162013006,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,379,,2016-02-18 15:28:00,2016,2,Thursday,15,Part Three,ADAMS ST,42.28645725,-71.05461417,"(42.28645725, -71.05461417)"
192792,I162088194,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,124,,2016-10-28 07:01:00,2016,10,Friday,7,Part Three,TYLER ST,42.34888042,-71.06149764,"(42.34888042, -71.06149764)"
78834,I172103474,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D14,768,,2017-12-14 17:33:00,2017,12,Thursday,17,Part Three,MARKET ST,42.35615901,-71.14910236,"(42.35615901, -71.14910236)"
96073,I172085110,619,Larceny,LARCENY ALL OTHERS,A1,102,,2017-08-25 13:00:00,2017,8,Friday,13,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
134765,I172043948,3410,Towed,TOWED MOTOR VEHICLE,A1,100,,2017-06-03 08:27:00,2017,6,Saturday,8,Part Three,BROAD ST,42.35782625,-71.05363923,"(42.35782625, -71.05363923)"
27843,I182050143,617,Larceny,LARCENY THEFT FROM BUILDING,A1,70,,2018-06-26 18:26:00,2018,6,Tuesday,18,Part One,CHARLES ST,42.35827471,-71.07057867,"(42.35827471, -71.07057867)"
273693,I162001174,617,Larceny,LARCENY THEFT FROM BUILDING,A1,73,,2016-01-05 10:49:00,2016,1,Tuesday,10,Part One,CENTER PLZ,42.35988372,-71.06016189,"(42.35988372, -71.06016189)"
119556,I172060193,3115,Investigate Person,INVESTIGATE PERSON,A1,128,,2017-07-24 21:30:00,2017,7,Monday,21,Part Three,ISABELLA ST,42.34873541,-71.07049185,"(42.34873541, -71.07049185)"
70887,I182004371,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,C6,197,,2018-01-17 08:27:00,2018,1,Wednesday,8,Part Two,C ST,42.33723127,-71.05539138,"(42.33723127, -71.05539138)"
242521,I162034747,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,101,,2016-05-03 22:00:00,2016,5,Tuesday,22,Part Three,INDIA ST,42.35816244,-71.05254604,"(42.35816244, -71.05254604)"
38390,I182038911,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,103,,2018-05-22 04:08:00,2018,5,Tuesday,4,Part Two,SCHOOL ST,42.3575462,-71.05881953,"(42.35754620, -71.05881953)"
276127,I152106376,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,395,,2015-12-25 21:10:00,2015,12,Friday,21,Part Three,DORCHESTER AVE,42.2843982,-71.06468373,"(42.28439820, -71.06468373)"
187796,I162093488,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,243,,2016-11-15 12:40:00,2016,11,Tuesday,12,Part Two,BAKERSFIELD ST,42.31540402,-71.06148663,"(42.31540402, -71.06148663)"
18052,I182060518,2604,Other,EXTORTION OR BLACKMAIL,E5,723,,2018-07-30 15:00:00,2018,7,Monday,15,Part Two,VFW PKWY,42.26897529,-71.17183138,"(42.26897529, -71.17183138)"
149792,I172027791,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E5,675,,2017-04-10 10:10:00,2017,4,Monday,10,Part Two,BRADFIELD AVE,42.28912716,-71.13934739,"(42.28912716, -71.13934739)"
125571,I172053796,2660,Other,OTHER OFFENSE,B3,945,,2017-07-04 08:09:00,2017,7,Tuesday,8,Part Two,WESTVIEW ST,42.29091867,-71.08767813,"(42.29091867, -71.08767813)"
23681,I182054510,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,522,,2018-07-11 12:27:00,2018,7,Wednesday,12,Part Two,DANA AVE,42.25326734,-71.12385963,"(42.25326734, -71.12385963)"
182634,I162099115,619,Larceny,LARCENY ALL OTHERS,E13,912,,2016-12-04 20:00:00,2016,12,Sunday,20,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
26099,I182051965,2660,Other,OTHER OFFENSE,C11,337,,2018-07-02 12:58:00,2018,7,Monday,12,Part Two,EVERTON ST,42.30481467,-71.07218295,"(42.30481467, -71.07218295)"
230355,I162047790,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E5, ,,2016-06-16 14:46:00,2016,6,Thursday,14,Part Three,,,,"(0.00000000, 0.00000000)"
315894,I152062779,617,Larceny,LARCENY THEFT FROM BUILDING,A1,64,,2015-07-27 07:30:00,2015,7,Monday,7,Part One,CAMBRIDGE ST,42.36116015,-71.07001526,"(42.36116015, -71.07001526)"
12882,I182066147,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,113,,2018-08-18 23:50:00,2018,8,Saturday,23,Part Two,KINGSTON ST,42.35370585,-71.05898587,"(42.35370585, -71.05898587)"
326937,I152050192,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,225,,2015-06-16 20:00:00,2015,6,Tuesday,20,Part Two,E BROADWAY,42.33550576,-71.04291647,"(42.33550576, -71.04291647)"
189886,I162091258,617,Larceny,LARCENY THEFT FROM BUILDING,D4,130,,2016-11-06 14:00:00,2016,11,Sunday,14,Part One,STUART ST,42.34843357,-71.0758794,"(42.34843357, -71.07587940)"
234712,I162043177,2647,Other,THREATS TO DO BODILY HARM,B2,305,,2016-06-01 21:31:00,2016,6,Wednesday,21,Part Two,ELMORE ST,42.32087449,-71.09190003,"(42.32087449, -71.09190003)"
177152,I162105115,3402,Service,ANIMAL INCIDENTS,C11,357,,2016-12-26 22:58:00,2016,12,Monday,22,Part Three,WASHINGTON ST,42.29855898,-71.07307742,"(42.29855898, -71.07307742)"
134846,I172043862,3811,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,C6,174,,2017-06-02 21:48:00,2017,6,Friday,21,Part Three,,,,"(0.00000000, 0.00000000)"
65898,I182009666,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,499,,2018-02-05 14:37:00,2018,2,Monday,14,Part Three,HYDE PARK AVE,42.27772002,-71.11929386,"(42.27772002, -71.11929386)"
221169,I162057634,3114,Investigate Property,INVESTIGATE PROPERTY,B3,418,,2016-07-19 20:14:00,2016,7,Tuesday,20,Part Three,NELSON ST,42.28096461,-71.08182418,"(42.28096461, -71.08182418)"
251363,I162025273,1844,Drug Violation,DRUGS - POSS CLASS C,A1,117,,2016-12-19 17:11:00,2016,12,Monday,17,Part Two,BEACH ST,42.35146761,-71.06217219,"(42.35146761, -71.06217219)"
265704,I162009794,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,212,,2016-02-05 15:54:00,2016,2,Friday,15,Part Three,DORCHESTER ST,42.33686889,-71.04379437,"(42.33686889, -71.04379437)"
185201,I162096297,2905,Violations,VAL - OPERATING WITHOUT LICENSE,C11,397,,2016-11-25 11:42:00,2016,11,Friday,11,Part Two,BRENT ST,42.28960433,-71.06833775,"(42.28960433, -71.06833775)"
10599,I182068609,3125,Warrant Arrests,WARRANT ARREST,B3,458,,2018-08-27 07:54:00,2018,8,Monday,7,Part Three,HEWINS ST,42.30301051,-71.0818306,"(42.30301051, -71.08183060)"
23388,I182054818,3115,Investigate Person,INVESTIGATE PERSON,A1,77,,2018-07-12 11:50:00,2018,7,Thursday,11,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
64282,I182011380,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,435,,2018-02-12 17:00:00,2018,2,Monday,17,Part One,SCHOOL ST,42.29702742,-71.07576538,"(42.29702742, -71.07576538)"
18707,I182059797,3410,Towed,TOWED MOTOR VEHICLE,C11,240,,2018-07-29 09:02:00,2018,7,Sunday,9,Part Three,SUMNER ST,42.31848666,-71.06163397,"(42.31848666, -71.06163397)"
171649,I172004508,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,D14,806,,2017-01-17 19:23:00,2017,1,Tuesday,19,Part Three,WESTERN AVE,42.36223947,-71.14174147,"(42.36223947, -71.14174147)"
169925,I172006341,1503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",B3,427,,2017-01-20 11:24:00,2017,1,Friday,11,Part Two,BABSON ST,42.27491663,-71.09220444,"(42.27491663, -71.09220444)"
317854,I152060550,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C6,174,,2015-07-22 11:18:00,2015,7,Wednesday,11,Other,FRONTAGE RD,42.33796886,-71.0640821,"(42.33796886, -71.06408210)"
192516,I162088487,3115,Investigate Person,INVESTIGATE PERSON,B2,329,,2016-10-29 05:07:00,2016,10,Saturday,5,Part Three,MASSACHUSETTS AVE,42.336955,-71.07747,"(42.33695500, -71.07747000)"
275612,I152106972,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,406,,2015-12-27 12:07:00,2015,12,Sunday,12,Part Three,RIVER ST,42.27136131,-71.0810083,"(42.27136131, -71.08100830)"
284395,I152097182,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,352,,2015-11-23 13:30:00,2015,11,Monday,13,Part Two,CHARLES ST,42.30060543,-71.06126785,"(42.30060543, -71.06126785)"
145658,I172032249,724,Auto Theft,AUTO THEFT,B2,329,,2017-04-19 20:00:00,2017,4,Wednesday,20,Part One,OLDFIELDS RD,42.30698421,-71.0782707,"(42.30698421, -71.07827070)"
233599,I162044321,3125,Warrant Arrests,WARRANT ARREST,B3,457,,2016-06-05 18:53:00,2016,6,Sunday,18,Part Three,BRADSHAW ST,42.29890415,-71.08187549,"(42.29890415, -71.08187549)"
16716,I182061977,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,145,,2018-08-05 09:32:00,2018,8,Sunday,9,Part One,SAINT BOTOLPH ST,42.3445384,-71.08122921,"(42.34453840, -71.08122921)"
