,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
5099,I182074555,3115,Investigate Person,INVESTIGATE PERSON,B2,330,Y,2018-09-15 20:10:00,2018,9,Saturday,20,Part Three,BLUE HILL AVE,42.30703587,-71.08410227,"(42.30703587, -71.08410227)"
5265,I182074372,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,257,Y,2018-09-15 03:35:00,2018,9,Saturday,3,Part One,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
5266,I182074372,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,257,Y,2018-09-15 03:35:00,2018,9,Saturday,3,Part Two,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
7817,I182071566,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,572,Y,2018-09-05 19:01:00,2018,9,Wednesday,19,Part One,SCHOOL ST,42.31284459,-71.09676806,"(42.31284459, -71.09676806)"
8376,I182070974,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2018-09-03 23:48:00,2018,9,Monday,23,Part One,HEATH ST,42.32610077,-71.10433335,"(42.32610077, -71.10433335)"
8392,I182070957,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,452,Y,2018-09-03 21:35:00,2018,9,Monday,21,Part One,MERLIN ST,42.29572232,-71.07505157,"(42.29572232, -71.07505157)"
8548,I182070806,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,361,Y,2018-09-03 12:23:00,2018,9,Monday,12,Part One,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
8549,I182070806,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,361,Y,2018-09-03 12:23:00,2018,9,Monday,12,Part Two,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
8629,I182070720,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,461,Y,2018-09-03 01:00:00,2018,9,Monday,1,Part One,BOWDOIN AVE,42.30234412,-71.0763037,"(42.30234412, -71.07630370)"
9129,I182070186,3114,Investigate Property,INVESTIGATE PROPERTY,B3,417,Y,2018-09-01 05:22:00,2018,9,Saturday,5,Part Three,STOCKTON ST,42.28265604,-71.07374541,"(42.28265604, -71.07374541)"
9130,I182070186,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,417,Y,2018-09-01 05:22:00,2018,9,Saturday,5,Part One,STOCKTON ST,42.28265604,-71.07374541,"(42.28265604, -71.07374541)"
9771,I182069509,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,540,Y,2018-08-29 23:19:00,2018,8,Wednesday,23,Part One,HILLIS RD,42.2504055,-71.1317374,"(42.25040550, -71.13173740)"
9772,I182069509,3125,Warrant Arrests,WARRANT ARREST,E18,540,Y,2018-08-29 23:19:00,2018,8,Wednesday,23,Part Three,HILLIS RD,42.2504055,-71.1317374,"(42.25040550, -71.13173740)"
10349,I182068876,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,183,Y,2018-08-27 22:56:00,2018,8,Monday,22,Part One,DUDLEY ST,42.32104169,-71.07215291,"(42.32104169, -71.07215291)"
11775,I182067317,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,312,Y,2018-08-22 15:00:00,2018,8,Wednesday,15,Part One,HOLLANDER ST,42.3156892,-71.08951391,"(42.31568920, -71.08951391)"
11776,I182067317,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,312,Y,2018-08-22 15:00:00,2018,8,Wednesday,15,Part Two,HOLLANDER ST,42.3156892,-71.08951391,"(42.31568920, -71.08951391)"
12637,I182066420,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A15,900,Y,2018-08-19 22:46:00,2018,8,Sunday,22,Part One,MCNULTY CT,42.37808452,-71.05784115,"(42.37808452, -71.05784115)"
12638,I182066420,3114,Investigate Property,INVESTIGATE PROPERTY,A15,900,Y,2018-08-19 22:46:00,2018,8,Sunday,22,Part Three,MCNULTY CT,42.37808452,-71.05784115,"(42.37808452, -71.05784115)"
13706,I182065260,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",D4,594,Y,2018-08-15 23:21:00,2018,8,Wednesday,23,Part Two,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.34186952, -71.08372190)"
14239,I182064699,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,466,Y,2018-08-14 09:30:00,2018,8,Tuesday,9,Part One,DEERING RD,42.28414025,-71.09305138,"(42.28414025, -71.09305138)"
14591,I182064331,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D14,816,Y,2018-08-12 22:52:00,2018,8,Sunday,22,Part One,MANSFIELD ST,42.35752408,-71.13077384,"(42.35752408, -71.13077384)"
14599,I182064319,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,352,Y,2018-08-12 21:18:00,2018,8,Sunday,21,Part One,ARCADIA ST,42.30155019,-71.06235124,"(42.30155019, -71.06235124)"
14831,I182064057,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,240,Y,2018-08-15 16:15:00,2018,8,Wednesday,16,Part One,COLUMBIA RD,42.31959298,-71.062607,"(42.31959298, -71.06260700)"
14832,I182064056,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,410,Y,2018-08-11 23:14:00,2018,8,Saturday,23,Part One,MANCHESTER ST,42.27404039,-71.07630093,"(42.27404039, -71.07630093)"
15034,I182063831,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,179,Y,2018-08-11 05:43:00,2018,8,Saturday,5,Part One,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
15035,I182063831,3125,Warrant Arrests,WARRANT ARREST,B2,179,Y,2018-08-11 05:43:00,2018,8,Saturday,5,Part Three,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
15950,I182062810,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,470,Y,2018-08-08 01:07:00,2018,8,Wednesday,1,Part One,ITASCA ST,42.27718001,-71.09870916,"(42.27718001, -71.09870916)"
15951,I182062810,1402,Vandalism,VANDALISM,B3,470,Y,2018-08-08 01:07:00,2018,8,Wednesday,1,Part Two,ITASCA ST,42.27718001,-71.09870916,"(42.27718001, -71.09870916)"
16563,I182062147,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,936,Y,2018-08-05 23:18:00,2018,8,Sunday,23,Part One,DALESSIO CT,42.3379028,-71.05611348,"(42.33790280, -71.05611348)"
16793,I182061887,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D14,803,Y,2018-08-04 22:53:00,2018,8,Saturday,22,Part One,PENNIMAN RD,42.35551241,-71.13653726,"(42.35551241, -71.13653726)"
17008,I182061662,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,2018-08-04 02:12:00,2018,8,Saturday,2,Part One,LAMARTINE ST,42.32214915,-71.10091019,"(42.32214915, -71.10091019)"
17360,I182061280,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2018-08-02 21:49:00,2018,8,Thursday,21,Part One,WARDMAN RD,42.31529421,-71.09486034,"(42.31529421, -71.09486034)"
17657,I182060953,3001,Medical Assistance,DEATH INVESTIGATION,B3,435,Y,2018-08-01 23:27:00,2018,8,Wednesday,23,Part Three,TORREY ST,42.28746609,-71.07231418,"(42.28746609, -71.07231418)"
18189,I182060366,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,359,Y,2018-07-31 02:17:00,2018,7,Tuesday,2,Part One,PARK ST,42.29685211,-71.06702258,"(42.29685211, -71.06702258)"
18241,I182060309,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E5,705,Y,2018-07-30 21:31:00,2018,7,Monday,21,Part One,LAGRANGE ST,42.27326387,-71.14401468,"(42.27326387, -71.14401468)"
19613,I182058835,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,435,Y,2018-07-25 22:57:00,2018,7,Wednesday,22,Part One,NORFOLK ST,42.28804798,-71.07766654,"(42.28804798, -71.07766654)"
19614,I182058835,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,435,Y,2018-07-25 22:57:00,2018,7,Wednesday,22,Part One,NORFOLK ST,42.28804798,-71.07766654,"(42.28804798, -71.07766654)"
19615,I182058835,1874,Drug Violation,DRUGS - OTHER,B3,435,Y,2018-07-25 22:57:00,2018,7,Wednesday,22,Part Two,NORFOLK ST,42.28804798,-71.07766654,"(42.28804798, -71.07766654)"
19616,I182058835,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,435,Y,2018-07-25 22:57:00,2018,7,Wednesday,22,Part Two,NORFOLK ST,42.28804798,-71.07766654,"(42.28804798, -71.07766654)"
19617,I182058835,3125,Warrant Arrests,WARRANT ARREST,B3,435,Y,2018-07-25 22:57:00,2018,7,Wednesday,22,Part Three,NORFOLK ST,42.28804798,-71.07766654,"(42.28804798, -71.07766654)"
20227,I182058179,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,619,Y,2018-07-23 21:41:00,2018,7,Monday,21,Part One,MASSACHUSETTS AVE,42.34309082,-71.08540752,"(42.34309082, -71.08540752)"
20725,I182057654,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E18,484,Y,2018-07-22 04:24:00,2018,7,Sunday,4,Part One,HOPEWELL RD,42.26170286,-71.10221348,"(42.26170286, -71.10221348)"
22050,I182056227,3125,Warrant Arrests,WARRANT ARREST,B3,439,Y,2018-07-17 11:34:00,2018,7,Tuesday,11,Part Three,BLUE HILL AVE,42.28987906,-71.08948844,"(42.28987906, -71.08948844)"
22051,I182056227,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,439,Y,2018-07-17 11:34:00,2018,7,Tuesday,11,Part One,BLUE HILL AVE,42.28987906,-71.08948844,"(42.28987906, -71.08948844)"
23028,I182055198,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,304,Y,2018-07-13 14:01:00,2018,7,Friday,14,Part One,WASHINGTON ST,42.31667114,-71.09743705,"(42.31667114, -71.09743705)"
23029,I182055198,1845,Drug Violation,DRUGS - POSS CLASS D,E13,304,Y,2018-07-13 14:01:00,2018,7,Friday,14,Part Two,WASHINGTON ST,42.31667114,-71.09743705,"(42.31667114, -71.09743705)"
23030,I182055198,3125,Warrant Arrests,WARRANT ARREST,E13,304,Y,2018-07-13 14:01:00,2018,7,Friday,14,Part Three,WASHINGTON ST,42.31667114,-71.09743705,"(42.31667114, -71.09743705)"
23979,I182054207,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,294,Y,2018-07-10 13:04:00,2018,7,Tuesday,13,Part One,AKRON ST,42.32579408,-71.08563758,"(42.32579408, -71.08563758)"
24106,I182054067,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,446,Y,2018-07-09 21:06:00,2018,7,Monday,21,Part One,SPENCER ST,42.29660463,-71.07692684,"(42.29660463, -71.07692684)"
24616,I182053533,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,909,Y,2018-07-07 23:33:00,2018,7,Saturday,23,Part One,WHITTIER ST,42.33380238,-71.08880867,"(42.33380238, -71.08880867)"
24728,I182053414,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,316,Y,2018-07-07 15:06:00,2018,7,Saturday,15,Part One,HOMESTEAD ST,42.31242132,-71.09154902,"(42.31242132, -71.09154902)"
24729,I182053414,3125,Warrant Arrests,WARRANT ARREST,B2,316,Y,2018-07-07 15:06:00,2018,7,Saturday,15,Part Three,HOMESTEAD ST,42.31242132,-71.09154902,"(42.31242132, -71.09154902)"
24852,I182053289,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,338,Y,2018-07-06 11:30:00,2018,7,Friday,11,Part One,CHURCH ST,42.30859659,-71.06257749,"(42.30859659, -71.06257749)"
24853,I182053289,1510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,C11,338,Y,2018-07-06 11:30:00,2018,7,Friday,11,Part Two,CHURCH ST,42.30859659,-71.06257749,"(42.30859659, -71.06257749)"
25488,I182052602,3001,Medical Assistance,DEATH INVESTIGATION,B2,324,Y,2018-07-04 21:50:00,2018,7,Wednesday,21,Part Three,BROOKFORD ST,42.31841535,-71.07602496,"(42.31841535, -71.07602496)"
25489,I182052602,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,324,Y,2018-07-04 21:50:00,2018,7,Wednesday,21,Part One,BROOKFORD ST,42.31841535,-71.07602496,"(42.31841535, -71.07602496)"
25490,I182052602,3125,Warrant Arrests,WARRANT ARREST,B2,324,Y,2018-07-04 21:50:00,2018,7,Wednesday,21,Part Three,BROOKFORD ST,42.31841535,-71.07602496,"(42.31841535, -71.07602496)"
25539,I182052553,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,326,Y,2018-07-04 18:40:00,2018,7,Wednesday,18,Part One,FAYSTON ST,42.31224327,-71.07549901,"(42.31224327, -71.07549901)"
25540,I182052553,3115,Investigate Person,INVESTIGATE PERSON,B2,326,Y,2018-07-04 18:40:00,2018,7,Wednesday,18,Part Three,FAYSTON ST,42.31224327,-71.07549901,"(42.31224327, -71.07549901)"
25710,I182052372,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,327,Y,2018-07-04 00:16:00,2018,7,Wednesday,0,Part One,WAYLAND ST,42.31368925,-71.0742708,"(42.31368925, -71.07427080)"
25715,I182052365,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,316,Y,2018-07-03 23:39:00,2018,7,Tuesday,23,Part One,CRAWFORD ST,42.31499803,-71.09194485,"(42.31499803, -71.09194485)"
26552,I182051482,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,531,Y,2018-06-30 23:46:00,2018,6,Saturday,23,Part One,NEPONSET VALLEY PKWY,42.24186532,-71.13277504,"(42.24186532, -71.13277504)"
26804,I182051210,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",D14,759,Y,2018-06-30 00:41:00,2018,6,Saturday,0,Part One,BRACKETT ST,42.351987,-71.16510001,"(42.35198700, -71.16510001)"
26805,I182051210,3130,Search Warrants,SEARCH WARRANT,D14,759,Y,2018-06-30 00:41:00,2018,6,Saturday,0,Part Three,BRACKETT ST,42.351987,-71.16510001,"(42.35198700, -71.16510001)"
26806,I182051210,3410,Towed,TOWED MOTOR VEHICLE,D14,759,Y,2018-06-30 00:41:00,2018,6,Saturday,0,Part Three,BRACKETT ST,42.351987,-71.16510001,"(42.35198700, -71.16510001)"
26807,I182051210,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",D14,759,Y,2018-06-30 00:41:00,2018,6,Saturday,0,Part Two,BRACKETT ST,42.351987,-71.16510001,"(42.35198700, -71.16510001)"
26808,I182051210,1510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,D14,759,Y,2018-06-30 00:41:00,2018,6,Saturday,0,Part Two,BRACKETT ST,42.351987,-71.16510001,"(42.35198700, -71.16510001)"
26809,I182051210,3001,Medical Assistance,DEATH INVESTIGATION,D14,759,Y,2018-06-30 00:41:00,2018,6,Saturday,0,Part Three,BRACKETT ST,42.351987,-71.16510001,"(42.35198700, -71.16510001)"
26816,I182051203,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,465,Y,2018-06-30 00:18:00,2018,6,Saturday,0,Part One,WILCOCK ST,42.2868893,-71.09222991,"(42.28688930, -71.09222991)"
27497,I182050499,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,340,Y,2018-06-27 18:53:00,2018,6,Wednesday,18,Part One,DRAPER ST,42.30540715,-71.06547135,"(42.30540715, -71.06547135)"
27498,I182050499,3130,Search Warrants,SEARCH WARRANT,C11,340,Y,2018-06-27 18:53:00,2018,6,Wednesday,18,Part Three,DRAPER ST,42.30540715,-71.06547135,"(42.30540715, -71.06547135)"
28295,I182049671,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,329,Y,2018-06-25 12:42:00,2018,6,Monday,12,Part One,BISHOP JOE L SMITH WAY,42.30660388,-71.08055038,"(42.30660388, -71.08055038)"
28296,I182049671,1402,Vandalism,VANDALISM,B2,329,Y,2018-06-25 12:42:00,2018,6,Monday,12,Part Two,BISHOP JOE L SMITH WAY,42.30660388,-71.08055038,"(42.30660388, -71.08055038)"
28297,I182049671,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B2,329,Y,2018-06-25 12:42:00,2018,6,Monday,12,Part Two,BISHOP JOE L SMITH WAY,42.30660388,-71.08055038,"(42.30660388, -71.08055038)"
28298,I182049671,3130,Search Warrants,SEARCH WARRANT,B2,329,Y,2018-06-25 12:42:00,2018,6,Monday,12,Part Three,BISHOP JOE L SMITH WAY,42.30660388,-71.08055038,"(42.30660388, -71.08055038)"
28299,I182049671,1510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,B2,329,Y,2018-06-25 12:42:00,2018,6,Monday,12,Part Two,BISHOP JOE L SMITH WAY,42.30660388,-71.08055038,"(42.30660388, -71.08055038)"
28911,I182049008,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,258,Y,2018-06-23 02:59:00,2018,6,Saturday,2,Part One,MONADNOCK ST,42.31633855,-71.06879992,"(42.31633855, -71.06879992)"
31965,I182045765,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,493,Y,2018-06-12 22:45:00,2018,6,Tuesday,22,Part One,ROSA ST,42.26217287,-71.11245418,"(42.26217287, -71.11245418)"
32607,I182045071,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,240,Y,2018-06-10 22:53:00,2018,6,Sunday,22,Part One,COLUMBIA RD,42.31959298,-71.062607,"(42.31959298, -71.06260700)"
32608,I182045071,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B2,240,Y,2018-06-10 22:53:00,2018,6,Sunday,22,Part Two,COLUMBIA RD,42.31959298,-71.062607,"(42.31959298, -71.06260700)"
32609,I182045071,1503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",B2,240,Y,2018-06-10 22:53:00,2018,6,Sunday,22,Part Two,COLUMBIA RD,42.31959298,-71.062607,"(42.31959298, -71.06260700)"
33093,I182044559,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,481,Y,2018-06-08 23:56:00,2018,6,Friday,23,Part One,CUMMINS HWY,42.26857609,-71.09574826,"(42.26857609, -71.09574826)"
33099,I182044554,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,237,Y,2018-06-09 00:45:00,2018,6,Saturday,0,Part One,ELDER ST,42.32022882,-71.06307063,"(42.32022882, -71.06307063)"
33108,I182044546,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,265,Y,2018-06-09 00:08:00,2018,6,Saturday,0,Part One,COPELAND ST,42.3219484,-71.08138427,"(42.32194840, -71.08138427)"
33109,I182044546,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,265,Y,2018-06-09 00:08:00,2018,6,Saturday,0,Part One,COPELAND ST,42.3219484,-71.08138427,"(42.32194840, -71.08138427)"
33110,I182044546,3114,Investigate Property,INVESTIGATE PROPERTY,B2,265,Y,2018-06-09 00:08:00,2018,6,Saturday,0,Part Three,COPELAND ST,42.3219484,-71.08138427,"(42.32194840, -71.08138427)"
33256,I182044393,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,450,Y,2018-06-08 15:00:00,2018,6,Friday,15,Part Two,SOUTHERN AVE,42.29086554,-71.07222226,"(42.29086554, -71.07222226)"
33257,I182044393,1504,Other,WEAPON - OTHER - OTHER VIOLATION,B3,450,Y,2018-06-08 15:00:00,2018,6,Friday,15,Part Two,SOUTHERN AVE,42.29086554,-71.07222226,"(42.29086554, -71.07222226)"
33258,I182044393,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,450,Y,2018-06-08 15:00:00,2018,6,Friday,15,Part Two,SOUTHERN AVE,42.29086554,-71.07222226,"(42.29086554, -71.07222226)"
33259,I182044393,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,450,Y,2018-06-08 15:00:00,2018,6,Friday,15,Part One,SOUTHERN AVE,42.29086554,-71.07222226,"(42.29086554, -71.07222226)"
33260,I182044393,3125,Warrant Arrests,WARRANT ARREST,B3,450,Y,2018-06-08 15:00:00,2018,6,Friday,15,Part Three,SOUTHERN AVE,42.29086554,-71.07222226,"(42.29086554, -71.07222226)"
34068,I182043561,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,357,Y,2018-06-05 22:49:00,2018,6,Tuesday,22,Part One,CLAYBOURNE ST,42.29808992,-71.07178667,"(42.29808992, -71.07178667)"
34069,I182043561,3125,Warrant Arrests,WARRANT ARREST,C11,357,Y,2018-06-05 22:49:00,2018,6,Tuesday,22,Part Three,CLAYBOURNE ST,42.29808992,-71.07178667,"(42.29808992, -71.07178667)"
34147,I182043486,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,352,Y,2018-06-05 18:38:00,2018,6,Tuesday,18,Part One,CHARLES ST,42.29990887,-71.06424768,"(42.29990887, -71.06424768)"
35129,I182042418,3115,Investigate Person,INVESTIGATE PERSON,A7,26,Y,2018-06-01 23:53:00,2018,6,Friday,23,Part Three,BORDER ST,42.38229155,-71.04036424,"(42.38229155, -71.04036424)"
35130,I182042418,3170,Other,INTIMIDATING WITNESS,A7,26,Y,2018-06-01 23:53:00,2018,6,Friday,23,Part Three,BORDER ST,42.38229155,-71.04036424,"(42.38229155, -71.04036424)"
35131,I182042418,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",A7,26,Y,2018-06-01 23:53:00,2018,6,Friday,23,Part One,BORDER ST,42.38229155,-71.04036424,"(42.38229155, -71.04036424)"
35132,I182042418,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A7,26,Y,2018-06-01 23:53:00,2018,6,Friday,23,Part Two,BORDER ST,42.38229155,-71.04036424,"(42.38229155, -71.04036424)"
35133,I182042418,3125,Warrant Arrests,WARRANT ARREST,A7,26,Y,2018-06-01 23:53:00,2018,6,Friday,23,Part Three,BORDER ST,42.38229155,-71.04036424,"(42.38229155, -71.04036424)"
38528,I182038763,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,364,Y,2018-05-21 16:25:00,2018,5,Monday,16,Part One,CENTRE ST,42.29506405,-71.05672533,"(42.29506405, -71.05672533)"
38529,I182038763,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,364,Y,2018-05-21 16:25:00,2018,5,Monday,16,Part Two,CENTRE ST,42.29506405,-71.05672533,"(42.29506405, -71.05672533)"
38530,I182038763,381,Robbery,ROBBERY - CAR JACKING,C11,364,Y,2018-05-21 16:25:00,2018,5,Monday,16,Part One,CENTRE ST,42.29506405,-71.05672533,"(42.29506405, -71.05672533)"
