,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
620739,2006-07-26 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,MISSION ST / 16TH ST,-122.419671780296,37.7650501214668
291719,2011-05-18 09:59:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,TENDERLOIN,NONE,400 Block of ELLIS ST,-122.413609328985,37.784696907904
160602,2013-04-01 08:35:00,LARCENY/THEFT,ATTEMPTED SHOPLIFTING,Monday,TARAVAL,"ARREST, BOOKED",1500 Block of SLOAT BL,-122.489713969124,37.7339497680852
627914,2006-06-16 17:29:00,MISSING PERSON,FOUND PERSON,Friday,TENDERLOIN,LOCATED,200 Block of MCALLISTER ST,-122.416577792446,37.780614876154
464058,2008-10-29 10:37:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,BAYVIEW,"ARREST, CITED",600 Block of SILLIMAN ST,-122.411495139484,37.7295043000752
686953,2005-08-22 08:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,MISSION ST / FREMONT ST,-122.39669429070601,37.790460100671204
698526,2005-06-17 23:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,SOUTHERN,NONE,1000 Block of HOWARD ST,-122.408520791815,37.7785853155801
737917,2004-11-22 13:50:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Monday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.40669059226101,37.7852071918419
40103,2014-10-30 13:26:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,MISSION,UNFOUNDED,3400 Block of 19TH ST,-122.41960650570299,37.7601560806744
327492,2010-11-03 00:31:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,RICHMOND,"ARREST, CITED",FULTON ST / 3RD AV,-122.460552664492,37.7740299858693
534466,2007-10-29 20:00:00,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Monday,TENDERLOIN,NONE,300 Block of TURK ST,-122.414900544562,37.7827419623926
682695,2005-09-09 09:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Friday,BAYVIEW,NONE,PHELPS ST / KIRKWOOD AV,-122.39183425238998,37.7392287557399
102671,2013-12-29 04:45:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406029855,37.7841907151119
741322,2004-10-30 15:00:00,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Saturday,BAYVIEW,NONE,3800 Block of 3RD ST,-122.387939452192,37.7422600519555
219713,2012-06-03 19:00:00,MISSING PERSON,FOUND PERSON,Sunday,PARK,LOCATED,1200 Block of PAGE ST,-122.44139370111401,37.771727314177106
276960,2011-08-09 10:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,SOUTHERN,"ARREST, CITED",HARRISON ST / 8TH ST,-122.40851839453501,37.773760403167
821650,2003-10-02 10:44:00,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Thursday,INGLESIDE,NONE,200 Block of CHENERY ST,-122.426841077801,37.737706045679396
859964,2003-04-01 11:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,RICHMOND,NONE,PARKER AV / GOLDEN GATE AV,-122.453189923865,37.7768524456095
61626,2014-07-23 00:01:00,MISSING PERSON,MISSING ADULT,Wednesday,TENDERLOIN,LOCATED,300 Block of EDDY ST,-122.412930522059,37.7838344374141
153090,2013-05-03 11:05:00,OTHER OFFENSES,PAROLE VIOLATION,Friday,BAYVIEW,"ARREST, BOOKED",GIRARD ST / WAYLAND ST,-122.404100833691,37.7261728040582
462849,2008-11-01 02:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,BAYVIEW,"ARREST, BOOKED",1100 Block of PALOU AV,-122.382555908106,37.729173261091496
594148,2006-12-12 17:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,200 Block of GONZALEZ DR,-122.475662603868,37.7171408545629
65905,2014-06-28 22:30:00,ROBBERY,CARJACKING WITH A GUN,Saturday,BAYVIEW,NONE,500 Block of SILLIMAN ST,-122.410554229729,37.729865844556606
82111,2014-04-14 05:00:00,NON-CRIMINAL,CASE CLOSURE,Monday,INGLESIDE,UNFOUNDED,0 Block of ROME ST,-122.444897397201,37.716876510347
813667,2003-11-11 11:35:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,TARAVAL,"ARREST, BOOKED",200 Block of THRIFT ST,-122.461467578211,37.7174871282718
101813,2014-01-07 12:42:00,TRESPASS,TRESPASSING,Tuesday,INGLESIDE,NONE,3700 Block of SAN BRUNO AV,-122.399801260212,37.714885475807705
17092,2015-02-20 00:01:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,MISSION,NONE,18TH ST / CASTRO ST,-122.435002864298,37.7608878061194
353550,2010-06-16 23:08:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,INGLESIDE,"ARREST, CITED",MISSION ST / CORTLAND AV,-122.42284237605101,37.741028744211704
160992,2013-03-24 11:50:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,RICHMOND,NONE,1500 Block of ANZA ST,-122.464691968726,37.7791210295473
847844,2003-05-28 11:40:00,ASSAULT,BATTERY,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
754227,2004-08-30 17:53:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,TENDERLOIN,"ARREST, BOOKED",100 Block of OFARRELL ST,-122.407244087032,37.7865647607685
192421,2012-10-20 13:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Saturday,CENTRAL,NONE,500 Block of SUTTER ST,-122.40942360467501,37.7890647342848
375231,2010-02-14 13:17:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,INGLESIDE,"ARREST, BOOKED",MISSION ST / ROLPH ST,-122.441553000987,37.7157548877789
358239,2010-05-21 16:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
349778,2010-07-04 15:00:00,LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES,Sunday,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.46620466789301,37.7725405391593
744255,2004-10-15 21:00:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,MISSION,NONE,700 Block of TREAT AV,-122.413452850385,37.758151459573895
435929,2009-03-22 01:00:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,INGLESIDE,"ARREST, BOOKED",MISSION ST / GENEVA AV,-122.441018108888,37.7164586830811
76057,2014-05-13 10:15:00,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Tuesday,INGLESIDE,"ARREST, CITED",SUNNYDALE AV / SANTOS ST,-122.418283197104,37.7123508590096
822988,2003-09-29 12:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,BAYVIEW,NONE,1100 Block of 8TH ST,-122.399996628792,37.767030629393
538207,2007-10-06 13:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE,800 Block of FOLSOM ST,-122.402343659494,37.7811666837563
96088,2014-02-04 09:10:00,OTHER OFFENSES,PROBATION VIOLATION,Tuesday,TENDERLOIN,JUVENILE BOOKED,100 Block of TAYLOR ST,-122.410928353347,37.7836778741124
311224,2011-01-28 00:01:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,TARAVAL,NONE,300 Block of ASHTON AV,-122.46220580280199,37.723954107160296
628775,2006-06-14 15:25:00,ASSAULT,BATTERY,Wednesday,RICHMOND,NONE,ARGUELLO BL / GEARY BL,-122.45886061566999,37.781255093548396
25065,2015-01-10 23:25:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,CENTRAL,NONE,400 Block of BROADWAY ST,-122.405065483077,37.7980134745487
425150,2009-05-16 02:15:00,NON-CRIMINAL,FOUND PROPERTY,Saturday,SOUTHERN,NONE,0 Block of DOW PL,-122.39617125184799,37.7846027603245
754295,2004-08-30 14:10:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,TENDERLOIN,"ARREST, BOOKED",300 Block of LEAVENWORTH ST,-122.414406029855,37.7841907151119
421675,2009-06-08 18:00:00,ASSAULT,BATTERY,Monday,MISSION,JUVENILE CITED,500 Block of POTRERO AV,-122.40710239862,37.762557938669794
424764,2009-05-17 02:08:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Sunday,MISSION,"ARREST, BOOKED",20TH ST / SHOTWELL ST,-122.415781281593,37.7588312134679
779919,2004-04-27 12:25:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,RICHMOND,"ARREST, BOOKED",600 Block of 32ND AV,-122.491956779206,37.7768766735218
215919,2012-06-28 09:00:00,OTHER OFFENSES,FALSE PERSONATION,Thursday,TARAVAL,NONE,2600 Block of 44TH AV,-122.502079395387,37.73719570165839
189737,2012-11-02 19:30:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,TENDERLOIN,NONE,0 Block of STOCKTON ST,-122.406351834294,37.7860311576362
51957,2014-09-04 17:10:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,CENTRAL,"ARREST, BOOKED",200 Block of POST ST,-122.406021838484,37.7886491245294
443364,2009-02-17 23:45:00,ASSAULT,BATTERY,Tuesday,MISSION,"ARREST, CITED",1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
586081,2007-01-25 18:06:00,OTHER OFFENSES,PROBATION VIOLATION,Thursday,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413237516676,37.78284302332129
723036,2005-02-12 07:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,NORTHERN,NONE,900 Block of ELLIS ST,-122.42185696580799,37.7837739045103
367717,2010-03-28 17:25:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Sunday,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.414056291891,37.7827931071006
516300,2008-02-05 12:16:00,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Tuesday,MISSION,NONE,2200 Block of 17TH ST,-122.405960799364,37.764631022109796
639239,2006-04-19 19:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,500 Block of 46TH AV,-122.507231328042,37.77808013668471
698884,2005-06-17 02:23:00,WARRANTS,WARRANT ARREST,Friday,NORTHERN,"ARREST, BOOKED",PAGE ST / OCTAVIA ST,-122.424059564237,37.7738758568453
150351,2013-05-17 10:12:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Friday,RICHMOND,NONE,FULTON ST / 6TH AV,-122.46374992639099,37.7736224122729
447,2015-05-12 19:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE,18TH ST / CAROLINA ST,-122.40039153434499,37.7623464417436
419829,2009-06-14 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,PARK,NONE,NOE ST / DUBOCE AV,-122.433575097282,37.769176747627704
826239,2003-09-07 21:00:00,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Sunday,CENTRAL,NONE,1000 Block of HYDE ST,-122.417368206741,37.790509415159505
180665,2012-12-16 15:00:00,NON-CRIMINAL,"CIVIL SIDEWALKS, WARNING",Sunday,MISSION,NONE,4100 Block of 18TH ST,-122.435573154199,37.7609106220681
31710,2014-12-11 06:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,TARAVAL,"ARREST, BOOKED",1200 Block of FUNSTON AV,-122.470728986084,37.7647728467304
281870,2011-07-12 03:45:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,TARAVAL,PSYCHOPATHIC CASE,1500 Block of SLOAT BL,-122.489713969124,37.7339497680852
416215,2009-07-09 12:40:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452289660492,37.72569335757029
415444,2009-07-11 18:00:00,SECONDARY CODES,PREJUDICE-BASED INCIDENT,Saturday,PARK,NONE,HAIGHT ST / STANYAN ST,-122.45353456066002,37.76916629780521
746151,2004-10-11 11:00:00,WEAPON LAWS,POSS OF LOADED FIREARM,Monday,TENDERLOIN,"ARREST, CITED",0 Block of ANTONIO ST,-122.413391473723,37.7851866866965
617423,2006-08-10 09:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,CAPP ST / 16TH ST,-122.418701003284,37.76510987862221
67801,2014-06-24 14:47:00,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",Tuesday,RICHMOND,NONE,700 Block of ARGUELLO BL,-122.458413377418,37.7758896700562
440677,2009-03-03 18:32:00,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Tuesday,MISSION,"ARREST, BOOKED",1100 Block of POTRERO AV,-122.406324313914,37.7536322498822
170057,2013-02-09 13:06:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Saturday,RICHMOND,"ARREST, BOOKED",7TH AV / GEARY BL,-122.465352649881,37.7809630027431
785294,2004-04-01 00:01:00,SEX OFFENSES FORCIBLE,CHILD ABUSE SEXUAL,Thursday,MISSION,UNFOUNDED,2600 Block of FOLSOM ST,-122.414378057249,37.7548796352281
648090,2006-03-07 07:15:00,ASSAULT,THREATS AGAINST LIFE,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
423775,2009-05-26 17:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,THE EMBARCADERONORTH ST / GREEN ST,-122.39886197111299,37.8007809996037
852924,2003-05-01 23:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,MISSION,NONE,3100 Block of 21ST ST,-122.41727097553301,37.7571885589512
423875,2009-05-26 12:05:00,LOITERING,REFUSING TO DISPERSE UPON LAWFUL COMMAND,Tuesday,NORTHERN,"ARREST, CITED",GROVE ST / VANNESS AV,-122.41988493945699,37.77825108324121
799609,2004-01-22 22:00:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Thursday,INGLESIDE,NONE,4800 Block of MISSION ST,-122.437805967469,37.7205476379806
333099,2010-10-05 17:40:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,BAYVIEW,"ARREST, CITED",3RD ST / LASALLE AV,-122.389865610332,37.73716994462029
14856,2015-03-04 00:01:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,INGLESIDE,NONE,100 Block of VIENNA ST,-122.426392837224,37.72594305235229
599372,2006-11-14 12:30:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Tuesday,NORTHERN,NONE,TURK ST / LAGUNA ST,-122.427206305932,37.78111752563769
346774,2010-07-26 18:41:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,NONE,0 Block of 4TH ST,-122.404956956375,37.785117856395296
352004,2010-06-28 11:00:00,SEX OFFENSES FORCIBLE,"CHILD ABUSE, PORNOGRAPHY",Monday,TARAVAL,NONE,400 Block of WAWONA ST,-122.47262773373998,37.7375193250045
201677,2012-09-07 21:35:00,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Friday,SOUTHERN,"ARREST, CITED",2ND ST / TOWNSEND ST,-122.390531404145,37.780607079847705
363844,2010-04-22 21:12:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
261576,2011-11-01 06:00:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,TENDERLOIN,NONE,100 Block of MASON ST,-122.40947349732001,37.784816365102
295427,2011-04-23 13:09:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Saturday,NORTHERN,"ARREST, BOOKED",0 Block of CEDAR ST,-122.419016755254,37.7865167265223
58289,2014-08-07 08:00:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,INGLESIDE,"ARREST, CITED",MISSION ST / MOUNT VERNON AV,-122.4425652636,37.7146613908372
743548,2004-10-17 21:30:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,TARAVAL,NONE,2500 Block of 16TH AV,-122.47235463012,37.7403777366547
253227,2011-12-15 10:39:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.41673216309601,37.783465567448
338810,2010-09-06 22:25:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,SOUTHERN,NONE,KING ST / DIVISION ST,-122.402075831854,37.7698842625949
424738,2009-05-17 03:25:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,BAYVIEW,"ARREST, BOOKED",2200 Block of INGALLS ST,-122.38771103737301,37.7250675459155
722139,2005-02-21 21:15:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,33RD AV / KIRKHAM ST,-122.491864301617,37.75916866473701
641919,2006-04-05 22:15:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,CENTRAL,NONE,300 Block of JEFFERSON ST,-122.41827069671899,37.8078519838014
404418,2009-09-05 10:21:00,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,BAYVIEW,"ARREST, CITED",BAY SHORE BL / INDUSTRIAL ST,-122.40691076779301,37.7379666158769
264863,2011-10-09 14:46:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Sunday,INGLESIDE,"ARREST, CITED",500 Block of MIRAMAR AV,-122.458326767341,37.7266715009387
810338,2003-11-26 17:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,SOUTHERN,"ARREST, BOOKED",FALMOUTH ST / SHIPLEY ST,-122.403887567872,37.7790049610409
669958,2005-11-14 08:40:00,MISSING PERSON,MISSING JUVENILE,Monday,INGLESIDE,LOCATED,MISSION ST / GENEVA AV,-122.441018108862,37.716458683113714
249274,2012-01-01 15:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,BAYVIEW,NONE,0 Block of CONNECTICUT ST,-122.397869370472,37.76571655101621
864853,2003-03-06 10:00:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,INGLESIDE,NONE,900 Block of GIRARD ST,-122.401758171192,37.7207363160972
726558,2005-01-27 09:10:00,OTHER OFFENSES,DEFRAUDING TAXI DRIVER,Thursday,TENDERLOIN,NONE,100 Block of TURK ST,-122.411615075408,37.7831614109395
539739,2007-10-02 12:23:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,RICHMOND,"ARREST, BOOKED",500 Block of JOHNFKENNEDY DR,-122.46620466789301,37.7725405391593
194166,2012-10-16 17:30:00,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Tuesday,SOUTHERN,NONE,MARKET ST / OCTAVIA ST,-122.42361948889601,37.7717157193406
335875,2010-09-21 15:36:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.419671780296,37.7650501214668
847193,2003-05-29 22:12:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,TARAVAL,"ARREST, CITED",RANDOLPH ST / BRIGHT ST,-122.463500207712,37.7143005357294
155729,2013-04-20 01:20:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Saturday,CENTRAL,NONE,SUTTER ST / STOCKTON ST,-122.406958660602,37.789434763003996
759647,2004-08-03 09:30:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Tuesday,SOUTHERN,NONE,700 Block of FOLSOM ST,-122.399625435061,37.7831585013597
850119,2003-05-15 16:55:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,CENTRAL,"ARREST, BOOKED",1000 Block of HYDE ST,-122.417368206741,37.790509415159505
619820,2006-07-28 11:32:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,CENTRAL,PSYCHOPATHIC CASE,300 Block of SUTTER ST,-122.40620371624901,37.7895849790509
70242,2014-06-11 02:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Wednesday,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.40722244095501,37.7864562588009
25707,2015-01-09 15:00:00,SECONDARY CODES,JUVENILE INVOLVED,Friday,INGLESIDE,NONE,100 Block of PERSIA AV,-122.43476428669202,37.7226161363136
51067,2014-09-06 17:00:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,INGLESIDE,PSYCHOPATHIC CASE,0 Block of NIAGARA AV,-122.442627054319,37.716246242905896
125771,2013-09-07 19:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,INGLESIDE,NONE,200 Block of OXFORD ST,-122.419564175858,37.7267747005062
858953,2003-04-03 15:00:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,INGLESIDE,NONE,SANTA ROSA AV / SAN JOSE AV,-122.440060537924,37.728923647927395
724091,2005-02-09 16:20:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,SOUTHERN,"ARREST, BOOKED",300 Block of 4TH ST,-122.399833846531,37.781043217933394
209360,2012-07-29 08:49:00,NON-CRIMINAL,LOST PROPERTY,Sunday,TENDERLOIN,NONE,POWELL ST / OFARRELL ST,-122.408040474858,37.786409403361795
513266,2008-02-20 15:06:00,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
615586,2006-08-21 23:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,MISSION,NONE,CAPP ST / 17TH ST,-122.418486296575,37.763495437314404
520644,2008-01-10 16:30:00,NON-CRIMINAL,LOST PROPERTY,Thursday,BAYVIEW,NONE,1300 Block of BAY SHORE BL,-122.401922600299,37.7273891075878
396845,2009-10-14 22:09:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,NORTHERN,PSYCHOPATHIC CASE,100 Block of FILLMORE ST,-122.430282421772,37.7709327759985
145563,2013-06-11 17:30:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,CENTRAL,NONE,700 Block of CALIFORNIA ST,-122.40631730332899,37.792347263025704
595822,2006-12-01 00:13:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,BAYVIEW,"ARREST, CITED",SAN BRUNO AV / FELTON ST,-122.404594140634,37.730037999512795
745517,2004-10-12 22:49:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,INGLESIDE,"ARREST, BOOKED",500 Block of JOOST AV,-122.44694416363998,37.732389964546
445511,2009-02-04 18:00:00,ROBBERY,"ROBBERY, ARMED WITH A GUN",Wednesday,SOUTHERN,NONE,6TH ST / MARKET ST,-122.41029351969,37.7822305870036
872648,2003-01-25 20:28:00,FRAUD,FALSE ID TO PEACE OFFICER,Saturday,CENTRAL,"ARREST, BOOKED",SANSOME ST / PACIFIC AV,-122.4020425842,37.797504889811
327993,2010-11-01 17:53:00,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,BAYVIEW,NONE,1600 Block of OAKDALE AV,-122.391493955999,37.7351844916326
331559,2010-10-09 16:05:00,NON-CRIMINAL,FIRE REPORT,Saturday,CENTRAL,NONE,400 Block of SANSOME ST,-122.401427486084,37.7941982165402
615033,2006-08-23 12:00:00,FRAUD,"TRICK AND DEVICE, PETTY THEFT",Wednesday,BAYVIEW,NONE,0 Block of CAMERON WY,-122.387181635995,37.7209669615499
722788,2005-02-12 22:00:00,NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE,4TH ST / MARKET ST,-122.40583247449,37.785744654538
628763,2006-06-14 16:00:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Wednesday,SOUTHERN,NONE,MARKET ST / THE EMBARCADERONORTH ST,-122.39398368522801,37.795060765295
487552,2008-06-29 15:00:00,ASSAULT,THREATS AGAINST LIFE,Sunday,TENDERLOIN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,HYDE ST / MCALLISTER ST,-122.41531796699199,37.7807179285998
820376,2003-10-05 13:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,MISSION,NONE,NOE ST / MARKET ST,-122.433075152376,37.7641937790293
331526,2010-10-09 17:30:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,TARAVAL,PSYCHOPATHIC CASE,400 Block of PLYMOUTH AV,-122.455997674227,37.7144992154636
